epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1201.61,2.08219,4.23207,1.8959,0.00213,0.33333,0.02151,0.01049,2.30936,8.52976,2.207,0.000465978,0.000465978,0.000465978
2,1939.89,1.73044,2.90156,1.60775,0.02054,0.16667,0.01149,0.00443,2.28448,10.4524,2.53158,0.000849023,0.000849023,0.000849023
3,2696.35,1.66269,2.52793,1.56429,0.05771,0.33333,0.03003,0.01883,2.15333,12.1505,1.88547,0.00113775,0.00113775,0.00113775
4,3515.45,1.64417,2.21245,1.56702,0.10556,0.33333,0.05303,0.03392,2.04673,7.16728,1.92939,0.00100459,0.00100459,0.00100459
5,4409.93,1.52784,1.96574,1.47471,0.15122,0.41667,0.10375,0.05162,2.06091,5.12107,2.10872,0.000863116,0.000863116,0.000863116
6,4951.18,1.43202,1.76214,1.41629,0.11373,0.41667,0.09863,0.04304,1.96317,6.11735,1.85613,0.000721645,0.000721645,0.000721645
7,5479.05,1.40187,1.68875,1.37806,0.12486,0.5,0.10223,0.05136,1.92906,5.9911,1.78124,0.000580174,0.000580174,0.000580174
8,6011.88,1.30762,1.48291,1.30829,0.20881,0.58333,0.17862,0.09488,1.59091,5.0377,1.625,0.000438703,0.000438703,0.000438703
9,6532.38,1.26994,1.35625,1.29517,0.206,0.66667,0.18363,0.0833,1.79181,3.94915,1.78882,0.000297232,0.000297232,0.000297232
10,7078.62,1.22471,1.26365,1.26169,0.24883,0.66667,0.20489,0.11555,1.52966,4.34945,1.58234,0.000155761,0.000155761,0.000155761
